text,label,lang,aspect
"ground itna ganda tha ke match cancel karna pada",negative,ru,ground
"pitch ki condition aisi thi ke kisi ko chot lag sakti thi",negative,ru,ground
"bilkul bekar jagah hai, koi maintain nahi karta",negative,ru,ground
"cricket pitch pe se ball achanak uchal rahi thi, khatarnaak tha",negative,ru,ground
"futsal turf pe jagah jagah se grass ukhar rahi thi",negative,ru,ground
"parking area mein itna andhera tha ke gaari lagana azab tha",negative,ru,facilities
"washroom se badbu aa rahi thi saaf nahi kiya tha inho ne",negative,ru,facilities
"pani khatam tha wahan, garmi mein bohot masla hua",negative,ru,facilities
"baithne ke liye ek kursi tak nahi thi bura haal tha",negative,ru,facilities
"changing room lock tha, staff bhi gayab tha",negative,ru,facilities
"booking cancel kardi aur pehle se inform bhi nahi kiya",negative,ru,booking
"time book hone ke bawajood wahan kisi aur ki team khel rahi thi",negative,ru,booking
"booking amount wapas aane mein ek hafta lag gaya",negative,ru,booking
"owner ne kaha slot booked hai jabke app pe khali dikha raha tha",negative,ru,booking
"paise advance le liye the lekin ground pe ja ke masla kiya",negative,ru,booking
"qeemat itni zyada rakhi hui hai ground kachre ka dher hai",negative,ru,price
"3000 ka slot bol ke 4000 le liye wahan ja ke",negative,ru,price
"rate theek tha lekin quality dekhte hue mehnga laga",negative,ru,price
"weekend charge ke naam pe bohot fraud karte hain ye log",negative,ru,price
"price kam hone chahiye thi is kharab ground ke liye",negative,ru,price
"staff ka rawaiya nihayat hi bura tha, badtameezi ki unhone",negative,ru,staff
"owner ko tameez hi nahi thi customers se baat karne ki",negative,ru,staff
"manager complaint sun'ne ke bajaye behes karne lag gaya",negative,ru,staff
"caretaker ne pani mangne par saf mana kardiya",negative,ru,staff
"lights on karne ka bolo to owner ne kahan time over ho gaya",negative,ru,staff
"lights kharab thi aadhi band thi, nazar kuch nahi aa raha tha",negative,ru,lights
"floodlights dheemi thi aur ek side pe andhera tha",negative,ru,lights
"match ke bech mein lights chali gayin, koi generator nahi tha",negative,ru,lights
"lights ki wajah se match ka sara maza kharab ho gaya",negative,ru,lights
"kisi bhi ground mein itni bekar lights nahi dekhi",negative,ru,lights
"zindagi ka sab se bura experience tha, mat jao",negative,ru,overall
"time aur paisa dono zaya karne wali jagah",negative,ru,overall
"is venue pe wapas aane ka to sawal hi paida nahi hota",negative,ru,overall
"bohot hi kharab jagah hai kisi ko advise nahi karunga",negative,ru,overall
"worst ground ever, don't even think about booking here",negative,en,overall
"pitch conditions were horrific, impossible to play cricket",negative,en,ground
"grass was overgrown on the football pitch, slowed the game down",negative,en,ground
"the turf was extremely slippery, two players got injured",negative,en,ground
"completely unmaintained ground, looks like an abandoned field",negative,en,ground
"net practice area was littered with garbage",negative,en,ground
"washrooms lacked basic hygiene, totally unacceptable",negative,en,facilities
"parking was full, had to park far away in a sketchy area",negative,en,facilities
"water cooler was empty and nobody bothered to refill it",negative,en,facilities
"no seating for substitutes, everyone had to stand for 2 hours",negative,en,facilities
"changing rooms smelled awful, we just went home to change",negative,en,facilities
"the owner double booked our slot and asked us to leave",negative,en,booking
"booking confirmation was a mess, didn't receive any SMS",negative,en,booking
"cancellation fee was ridiculously high",negative,en,booking
"they didn't honor our booking even with the receipt",negative,en,booking
"the app booking is totally disconnected from their reality",negative,en,booking
"terribly overpriced for such a poor quality venue",negative,en,price
"hidden costs popped up when we reached the ground",negative,en,price
"they charge premium rates for a substandard experience",negative,en,price
"definitely not worth the money, skip this place",negative,en,price
"rip off pricing, I feel scammed",negative,en,price
"staff was extremely unprofessional and rude",negative,en,staff
"owner was yelling at the previous team, toxic environment",negative,en,staff
"the manager ignored our complaints completely",negative,en,staff
"staff member tried to kick us out 15 minutes early",negative,en,staff
"horrible customer service, they don't value players",negative,en,staff
"lights were inadequate for a fast paced game",negative,en,lights
"half the pitch was in shadow because of broken lights",negative,en,lights
"lights kept turning off and on, very distracting",negative,en,lights
"poor lighting caused a lot of missed catches",negative,en,lights
"the floodlights are outdated and barely illuminate the ground",negative,en,lights
"absolute disaster of a match because of this venue",negative,en,overall
"I wouldn't play here even if it was free",negative,en,overall
"horrendous experience, zero stars if I could",negative,en,overall
"ground condition was horrible and turf ukhar raha tha",negative,mixed,ground
"pitch ka bounce uneven tha, playing here was a mistake",negative,mixed,ground
"nets area pura kachre se bhara tha, pathetic maintenance",negative,mixed,ground
"football pitch pe paani khara tha, drainage bilkul nahi hai",negative,mixed,ground
"turf was so old, uski grip bilkul dead thi",negative,mixed,ground
"washrooms were disgusting, and pani bhi nahi tha",negative,mixed,facilities
"parking ki jaga nahi thi, we had to park on the street",negative,mixed,facilities
"no drinking water available, itni garmi mein this is unacceptable",negative,mixed,facilities
"changing room locked tha aur staff gaya hua tha",negative,mixed,facilities
