text,label,lang,aspect
"The pitch was absolutely terrible, full of holes and patches",negative,en,ground
"Worst cricket ground I have ever played on, uneven bounce everywhere",negative,en,ground
"Turf was ripped in multiple places and nobody seemed to care",negative,en,ground
"Football pitch had standing water after light rain, drainage is nonexistent",negative,en,ground
"Ground markings were barely visible, we had to guess the boundaries",negative,en,ground
"The nets had massive holes, balls kept flying out during practice",negative,en,ground
"Astro turf was old and fraying, sliding on it caused burns",negative,en,ground
"Cricket pitch had no grass cover at all, it was basically concrete",negative,en,ground
"Small ground, could barely fit a 7 aside game comfortably",negative,en,ground
"Outfield was full of small rocks, someone twisted their ankle",negative,en,ground
"Washrooms were filthy and had no water supply",negative,en,facilities
"Parking was a nightmare, had to park on the main road",negative,en,facilities
"No changing room at all, we had to change in the car",negative,en,facilities
"Drinking water facility was broken and nobody fixed it",negative,en,facilities
"No first aid kit available when a player got injured",negative,en,facilities
"Seating area for spectators was nonexistent, people stood in the sun",negative,en,facilities
"Booked a 7pm slot but when we arrived it was given to someone else",negative,en,booking
"App showed the slot as available but owner said it was taken",negative,en,booking
"Cancelled my booking and the refund took over 2 weeks",negative,en,booking
"They charged me for 2 hours but gave us only 90 minutes",negative,en,booking
"Booking confirmation came 3 hours late, almost missed the slot",negative,en,booking
"No one picked up the phone when I tried to confirm my booking",negative,en,booking
"Way too expensive for the quality of the ground",negative,en,price
"4000 rupees for a ground with broken lights is highway robbery",negative,en,price
"They added a hidden surcharge after I confirmed the booking",negative,en,price
"Charged peak rates on a weekday morning when ground was empty",negative,en,price
"Price doubled without notice when I arrived at the venue",negative,en,price
"Not worth the money at all, plenty of cheaper options nearby",negative,en,price
"Owner was extremely rude when we asked about a discount",negative,en,staff
"Staff refused to extend our time by even 5 minutes",negative,en,staff
"The manager was nowhere to be found when we needed help",negative,en,staff
"Owner lied about the facilities to get the booking",negative,en,staff
"Floodlights were dim and kept flickering during the match",negative,en,lights
"Half the lights were not working, couldn't see the ball properly",negative,en,lights
"Lights turned off exactly at our slot end even mid-play",negative,en,lights
"No lights on one side of the ground, created dangerous shadows",negative,en,lights
"Overall worst experience, would never recommend to anyone",negative,en,overall
"Complete waste of money and time, avoid this venue",negative,en,overall
"I regret booking here, everything was below expectations",negative,en,overall
"Never coming back, ruined our entire evening",negative,en,overall
"ground bilkul bekaar tha har jagah gadhay the",negative,ru,ground
"pitch itni kharab thi ke ball kahi bhi jaa rahi thi",negative,ru,ground
"turf phat chuka tha aur kahin kahin se mitti dikh rahi thi",negative,ru,ground
"ground itna chhota tha ke 5 aside bhi mushkil tha",negative,ru,ground
"net practice mein net hi nahi thi, sab phaatay hue the",negative,ru,ground
"ghaas bilkul nahi thi pitch pe seedha mitti pe khela",negative,ru,ground
"ground pe paani khara tha baarish ke baad",negative,ru,ground
"cricket ki pitch pe cracks itnay the ke ball uncertain ho rahi thi",negative,ru,ground
"football ground pe cornay me kachra para tha",negative,ru,ground
"washroom itna ganda tha ke andar jaana mushkil tha",negative,ru,facilities
"parking ki jagah bilkul nahi thi, galyon mein khara karna para",negative,ru,facilities
"changing room mein tala laga tha kisi ne nahi khola",negative,ru,facilities
"pani puri ground mein kahi nahi milta tha",negative,ru,facilities
"koi first aid nahi tha jab hamare bande ko chot lagi",negative,ru,facilities
"slot book kiya tha lekin pahunchne pe kisi aur ko de diya",negative,ru,booking
"booking cancel hui bina bataye koi notification nahi aayi",negative,ru,booking
"refund manga lekin abhi tak nahi mila 10 din ho gaye",negative,ru,booking
"time pe nahi milta slot, hamesha 20 minute late dete hain",negative,ru,booking
"app pe available dikhaya lekin ground pe bola full hai",negative,ru,booking
"bohot mehnga hai itni bekar quality ke liye",negative,ru,price
"3500 liye aur ground kisi kaam ka nahi tha",negative,ru,price
"rate badhwa diye bina bole weekend ka bahana bana ke",negative,ru,price
"chupay hue charges lagaye booking ke baad",negative,ru,price
"itni qeemat mein 3 guna behtar milta hai doosri jagah",negative,ru,price
"owner bohat rude tha aur baat karne ka tareeqa bilkul ghalat",negative,ru,staff
"staff ne hamare sath bohat buri tarah se baat ki",negative,ru,staff
"owner sahab phone nahi uthatay booking confirm karne ko",negative,ru,staff
"manager ne jhoot bola facilities ke baare mein",negative,ru,staff
"lights itni madham thin ke ball nazar nahi aa rahi thi",negative,ru,lights
"aadhi lights band thin raat ke match mein",negative,ru,lights
"floodlights flickr kar rahi thin poore match mein",negative,ru,lights
"ek taraf bilkul andhera tha lights nahi thin us side",negative,ru,lights
"bohat bura tajurba tha kisi ko recommend nahi karunga",negative,ru,overall
"paiso aur waqt dono ki barbadi thi ye jagah",negative,ru,overall
"bilkul bekar jagah hai dobara nahi aaunga",negative,ru,overall
"sab cheez ne disappoint kiya yahan",negative,ru,overall
"ground quality bakwas thi lekin lights decent thin",negative,mixed,ground
"turf surface was okay but markings bilkul fade ho chuki thin",negative,mixed,ground
"pitch pe bounce bahut uneven tha, cricket khelna impossible tha",negative,mixed,ground
"ground ka size bohat chota tha for football",negative,mixed,ground
"futsal turf puraani ho chuki thi and grip bilkul nahi tha",negative,mixed,ground
"net area was pathetic, balls kept going bahar",negative,mixed,ground
"parking space was zero, galion mein lagani pari gaari",negative,mixed,facilities
"washroom mein soap ya towel kuch nahi tha",negative,mixed,facilities
"changing room mein bijli nahi thi andhera tha",negative,mixed,facilities
"drinking water ka koi arrangement nahi tha venue pe",negative,mixed,facilities
"seating area for spectators nahi tha bas dhoop mein khare rahe",negative,mixed,facilities
"slot confirmed tha but owner ne kisi aur ko de diya",negative,mixed,booking
"app pe slot show ho raha tha available lekin tha nahi",negative,mixed,booking
"cancellation policy unfair hai paisa waapis nahi karte",negative,mixed,booking
"booking ke baad price change kar diya unhone, very shady",negative,mixed,booking
"payment ho gayi but confirmation msg nahi aaya 4 ghante tak",negative,mixed,booking
"overpriced for the quality, 4000 mein bohat behtar milta hai",negative,mixed,price
"hidden charges laga diye after confirmation",negative,mixed,price
"price reasonable nahi hai compared to similar grounds nearby",negative,mixed,price
"2500 ka ground laga tha but 3500 ka bill de diya",negative,mixed,price
"weekend pe rate double kar dete hain bina reason",negative,mixed,price
"owner bohot arrogant tha jab discount maanga to gussa hogaya",negative,mixed,staff
"staff was unhelpful aur rude, koi cooperation nahi",negative,mixed,staff
"owner ne jhoot bola ground size ke baare mein on the phone",negative,mixed,staff
"manager ne hamari complaint ignore ki completely",negative,mixed,staff
"floodlights were terrible, aadhi band thin",negative,mixed,lights
"lights one side pe kaam nahi kar rahi thin dangerously dark tha",negative,mixed,lights
"lights suddenly band ho gayin mid match, koi backup nahi tha",negative,mixed,lights
"overall bohot disappointing experience tha never again",negative,mixed,overall
"waste of time and paisa, totally avoid karo",negative,mixed,overall
"sab kuch below average tha, kisi ko recommend nahi karunga",negative,mixed,overall
"match ka maza tabah hogaya kyunke ground itna ganda tha",negative,ru,ground
"pitch pe ubhar itne the ke batting karna naamumkin tha",negative,ru,ground
"ghaas kahin thi kahin nahi tha patchwork lagta tha ground",negative,ru,ground
"zameen bilkul khurduri thi sliding mein chot lag gayi",negative,ru,ground
"boundary pe kanday aur kaanch ka tukra pada tha khatarnak tha",negative,ru,ground
"changing room mein bijli nahi thi kapday andheray mein badlay",negative,ru,facilities
"parking ke naam pe koi jagah nahi thi sadak pe lagani pari gaari",negative,ru,facilities
"pani ka cooler band tha aur koi staff nahi tha theek karne ko",negative,ru,facilities
"chair benches kuch nahi tha dekh ne walay garmi mein kharay rahe",negative,ru,facilities
"online booking ki lekin phone pe owner ne kuch aur hi bola",negative,ru,booking
"confirm hone ke baad cancel kardiya koi reason nahi bataya",negative,ru,booking
"slot ke paise pehle le liye phir slot nahi diya",negative,ru,booking
"owner ne kaha 2 ghante milenge lekin 1 ghanta 20 min diya",negative,ru,booking
"4000 ke mukablay mein ground 2000 ka bhi nahi lagta tha",negative,ru,price
"bina bataye rate barha diya booking ke waqt aur rate tha",negative,ru,price
"zyada rate le ke kharab ground dena insaaf nahi hai",negative,ru,price
"owner se jab discount ki baat ki to rudely mana kar diya",negative,ru,staff
"staff ne hamari complaint ko seriously nahi liya",negative,ru,staff
"owner ne aakhir tak phone nahi uthaya booking ke baad",negative,ru,staff
"lights dheem thin aur blink kar rahi thin match mushkil ho gaya",negative,ru,lights
"raat ke match mein lights itni kam thin ke risk tha chot ka",negative,ru,lights
"The ground was decent, nothing special but playable",neutral,en,ground
"Average quality pitch, gets the job done for casual games",neutral,en,ground
"Turf was okay, a bit worn but not terrible",neutral,en,ground
"Cricket pitch had some uneven spots but overall acceptable",neutral,en,ground
"Ground size was standard, neither too big nor too small",neutral,en,ground
"Net quality was average, a few holes but mostly fine",neutral,en,ground
"Futsal surface was alright, not premium but functional",neutral,en,ground
"Football pitch was flat but the grass needed trimming",neutral,en,ground
"Outfield was basic, no rocks or hazards at least",neutral,en,ground
"Ground maintenance could be better but it works",neutral,en,ground
"Washrooms were clean but basic, no frills",neutral,en,facilities
"Parking was limited but we managed to find a spot",neutral,en,facilities
"Changing room was there but quite small for a full team",neutral,en,facilities
"Water cooler available but the cups ran out",neutral,en,facilities
"Seating area was a couple of benches, nothing fancy",neutral,en,facilities
"Basic facilities, not great not terrible",neutral,en,facilities
"Booking process was straightforward, no issues",neutral,en,booking
"Got the slot on time, checkout was normal",neutral,en,booking
"Booked through the app, confirmation came within 10 minutes",neutral,en,booking
"Slot timing was exact, no delays or early closures",neutral,en,booking
"Cancellation went smoothly, refund was processed",neutral,en,booking
"Booking experience was average, nothing remarkable",neutral,en,booking
"Price was fair for what you get, not cheap not expensive",neutral,en,price
"2000 rupees for a decent ground is about market rate",neutral,en,price
"Pricing is standard compared to other venues in the area",neutral,en,price
"Could be cheaper but its within acceptable range",neutral,en,price
"Price was okay, you get what you pay for",neutral,en,price
"Staff was professional, did their job",neutral,en,staff
"Owner was around but didnt interact much",neutral,en,staff
"Spoke to the manager briefly, he was polite enough",neutral,en,staff
"Staff cleaned the ground before our slot, thats about it",neutral,en,staff
"Lights were adequate for an evening game",neutral,en,lights
"Floodlights worked fine, decent visibility",neutral,en,lights
"Lighting was average, could be brighter but playable",neutral,en,lights
"It was an okay experience, nothing extraordinary",neutral,en,overall
"Standard venue, serves the purpose for weekend games",neutral,en,overall
"Neither impressed nor disappointed, just average",neutral,en,overall
"Would play here again if nothing better is available",neutral,en,overall
"Decent enough venue for casual play",neutral,en,overall
"ground theek tha khelne layiq tha",neutral,ru,ground
"pitch bilkul average thi na achi na buri",neutral,ru,ground
"turf thori purani thi magar chalti thi",neutral,ru,ground
"cricket ka bounce acceptable tha zyada masla nahi tha",neutral,ru,ground
"ground ka size theek tha 7 aside ke liye",neutral,ru,ground
"football pitch pe ghaas kam thi magar khela ja sakta tha",neutral,ru,ground
"net area kaam chal raha tha zyada shikayat nahi hai",neutral,ru,ground
"futsal surface normal thi khelne mein masla nahi hua",neutral,ru,ground
"ground maintenance average thi, na bohot ganda na saf",neutral,ru,ground
"washroom saaf tha lekin basic tha kuch extra nahi",neutral,ru,facilities
"parking ki jagah thi magar kam thi thori pareshani hui",neutral,ru,facilities
"changing room tha lekin chhota tha poori team ke liye",neutral,ru,facilities
"pani ka intezaam tha magar cups khatam ho gaye the",neutral,ru,facilities
"baithne ke liye 2 3 benches thin bas",neutral,ru,facilities
"booking mein koi masla nahi hua seedha seedha tha",neutral,ru,booking
"slot time pe mila koi delay nahi hua",neutral,ru,booking
"app se book kiya confirmation aa gayi 10 minute mein",neutral,ru,booking
"cancellation normal process thi koi mushkil nahi hui",neutral,ru,booking
"booking ka tajurba theek tha kuch khaas nahi",neutral,ru,booking
"qeemat market rate ke mutabiq thi",neutral,ru,price
"2000 rupay mein theek tha zyada mehnga nahi laga",neutral,ru,price
"rate normal tha doosri jagahon jitna hi",neutral,ru,price
"thora sasta ho sakta tha lekin itna bhi bura nahi",neutral,ru,price
"mehnga nahi tha lekin sasta bhi nahi keh sakte",neutral,ru,price
"staff ne kaam kiya apna, koi shikayat nahi",neutral,ru,staff
"owner se baat hui, seedhi baat ki koi masla nahi",neutral,ru,staff
"manager decent tha na rude na extra friendly",neutral,ru,staff
"staff ne ground saaf kiya hamari slot se pehle bas",neutral,ru,staff
"lights theek thin shaam ke match ke liye kaafi thin",neutral,ru,lights
"floodlights chal rahi thin visibility theek thi",neutral,ru,lights
"lights average thin thori aur tez ho sakti thin",neutral,ru,lights
"tajurba theek tha kuch khaas nahi tha",neutral,ru,overall
"normal venue tha weekend ke liye theek hai",neutral,ru,overall
"na impress hua na naraz, bas average tha",neutral,ru,overall
"dobara aaye shayad agar koi better option na mile",neutral,ru,overall
"chalata hai kaam casual cricket ke liye",neutral,ru,overall
"ground theek tha nothing special but okay for casual play",neutral,mixed,ground
"pitch quality was average, kuch jagah bounce theek nahi tha",neutral,mixed,ground
"turf was okay but thori worn out thi",neutral,mixed,ground
"cricket pitch acceptable thi for practice",neutral,mixed,ground
"ground size theek tha but could be bigger for proper football",neutral,mixed,ground
"net area was fine, kaam chal raha tha",neutral,mixed,ground
"futsal surface was decent, not premium quality though",neutral,mixed,ground
"football pitch flat tha but ghaas ko trim ki zaroorat thi",neutral,mixed,ground
"washrooms clean the but basic, nothing fancy",neutral,mixed,facilities
"parking limited thi but manage ho gaya somehow",neutral,mixed,facilities
"changing room thi but quite choti for the whole team",neutral,mixed,facilities
"water cooler tha but cups khatam ho gaye",neutral,mixed,facilities
"seating area basic thi couple of benches bas",neutral,mixed,facilities
"booking process was smooth, koi issue nahi aaya",neutral,mixed,booking
"slot time pe mila no delays, all good on that front",neutral,mixed,booking
"app se book kiya, confirmation thori late aayi but okay",neutral,mixed,booking
"cancellation went fine, refund bhi process hua",neutral,mixed,booking
"booking experience normal tha nothing great nothing bad",neutral,mixed,booking
"price theek thi for the quality, market rate pe tha",neutral,mixed,price
"2500 for this ground is about right, neither cheap nor expensive",neutral,mixed,price
"pricing standard thi compared to similar venues around",neutral,mixed,price
"thora cheaper ho sakta tha but its acceptable",neutral,mixed,price
"staff was decent, unhone kaam kiya apna that's it",neutral,mixed,staff
"owner was polite enough, basic interaction tha",neutral,mixed,staff
"manager se mila briefly, theek thi baat",neutral,mixed,staff
"lights adequate thin for evening play",neutral,mixed,lights
"floodlights worked fine, visibility was okay",neutral,mixed,lights
"lighting could be better but wasn't bad either",neutral,mixed,lights
"overall theek tha, nothing to write home about",neutral,mixed,overall
"standard venue hai serves the purpose for weekend matches",neutral,mixed,overall
"decent enough for casual games, nothing premium",neutral,mixed,overall
"not the best but not the worst bhi nahi",neutral,mixed,overall
"ground theek tha lekin washroom bohot ganda tha",neutral,mixed,overall
"pitch okay thi but the booking process was confusing",neutral,mixed,overall
"staff was nice but ground quality needs improvement",neutral,mixed,overall
"price theek thi but facilities could be much better",neutral,mixed,overall
"lights were fine but parking ki jagah nahi thi",neutral,mixed,overall
"good location lekin ground maintenance mein kharabi thi",neutral,mixed,overall
"ground ka size was fine but net area bohot chota tha",neutral,mixed,overall
"booking smooth thi but ground pe pahunch ke disappointment hua",neutral,mixed,overall
"owner friendly tha but ground ki condition average thi",neutral,mixed,overall
"facilities basic thin but ground quality made up for it a bit",neutral,mixed,overall
"match mein maza nahi aaya ground ki wajah se lekin lights achi thin",neutral,ru,overall
"parking mushkil thi lekin ground theek tha ek baar andar aaye to",neutral,ru,overall
"staff ne acha treat kiya magar facilities kamzor thin",neutral,ru,overall
"price zyada thi lekin ground ki quality bhi achi thi to chalega",neutral,ru,overall
"booking asaan thi magar slot pe pahunchne ke baad ground utna acha nahi tha",neutral,ru,overall
"sab theek tha lekin ek taraf lights kam thin",neutral,ru,overall
"facilities could be better but for the price it was acceptable",neutral,en,overall
"some things were great some not so much, balanced overall",neutral,en,overall
"would consider coming back if they improve the washrooms",neutral,en,overall
"good for practice but not suitable for a proper match",neutral,en,overall
"net area was fine, kuch jagah holes the lekin mostly okay tha",neutral,mixed,ground
"ground pe khelne layiq tha but premium nahi tha feel bilkul",neutral,mixed,ground
"pitch was playable, kuch spots pe bounce weird tha lekin chalta tha",neutral,mixed,ground
"ghaas okay thi but thori trimming ki zaroorat thi ground pe",neutral,mixed,ground
"slot mila late lekin owner ne apologize kiya so it's fine",neutral,mixed,booking
"booking cancel ki to thore din lage refund mein lekin aaya",neutral,mixed,booking
"rate thora zyada tha but quality bhi decent thi to fair lagta hai",neutral,mixed,price
"price for weekend was higher but understand the demand",neutral,mixed,price
"staff polite tha but zyada helpful nahi the",neutral,mixed,staff
"owner ne baat ki lekin koi extra effort nahi dikha",neutral,mixed,staff
"Excellent ground quality, freshly maintained turf with perfect bounce",positive,en,ground
"Best cricket pitch in the city, smooth and consistent",positive,en,ground
"Futsal surface was premium, great grip and no burns",positive,en,ground
"Ground was spacious enough for a full 11 aside match easily",positive,en,ground
"Nets were brand new and properly set up for practice",positive,en,ground
"Football pitch was immaculate, proper markings and flat surface",positive,en,ground
"Turf quality was outstanding, felt like playing on a professional field",positive,en,ground
"Ground maintenance was top notch, they clearly care about it",positive,en,ground
"Cricket outfield was clean and fast, fielding was a pleasure",positive,en,ground
"Best futsal turf I have played on in Islamabad",positive,en,ground
"Clean washrooms with proper soap and towels, impressed",positive,en,facilities
"Ample parking space, even for 20 cars easily",positive,en,facilities
"Changing rooms were spacious with lockers and mirrors",positive,en,facilities
"Cold water dispenser available, really appreciated on a hot day",positive,en,facilities
"Proper first aid kit available, the staff knew how to use it",positive,en,facilities
"Comfortable seating area for spectators with shade",positive,en,facilities
"Canteen on site serving tea and snacks, very convenient",positive,en,facilities
"Booking was instant through the app, love the convenience",positive,en,booking
"Got immediate confirmation and a reminder before the slot",positive,en,booking
"Cancellation was hassle free, refund came within 24 hours",positive,en,booking
"Slot was ready exactly on time, very professional",positive,en,booking
"The booking system is smooth, never had any issues",positive,en,booking
"Easiest booking process I have used for any sports venue",positive,en,booking
"Great value for money, quality ground at a reasonable price",positive,en,price
"Very affordable compared to other venues with similar quality",positive,en,price
"Weekend pricing was fair, no hidden charges at all",positive,en,price
"They gave us a discount for booking 3 hours, nice touch",positive,en,price
"Best price to quality ratio in the area hands down",positive,en,price
"2000 for this quality is a steal honestly",positive,en,price
"Owner was super friendly and helped us set up the nets",positive,en,staff
"Staff was welcoming and provided water bottles for everyone",positive,en,staff
"Manager went out of his way to accommodate our schedule",positive,en,staff
"Very responsive owner, replies to messages within minutes",positive,en,staff
"The caretaker kept the ground perfectly during our match",positive,en,staff
"Floodlights were bright and evenly distributed, perfect for night games",positive,en,lights
"Best lighting I have seen at any local ground",positive,en,lights
"LED floodlights, no flickering, stadium level illumination",positive,en,lights
"Lights were powerful enough to see every ball clearly at 10pm",positive,en,lights
"Amazing experience, will definitely book again",positive,en,overall
"Top quality venue, best in the area without doubt",positive,en,overall
"Everything was perfect from booking to playing to leaving",positive,en,overall
"Highly recommend this ground to everyone who plays cricket",positive,en,overall
"Loved every minute of it, exactly what we were looking for",positive,en,overall
"Best sports venue experience in islamabad period",positive,en,overall
"ground ki quality lajawab thi bilkul naya turf laga hua tha",positive,ru,ground
"pitch pe bounce bohat acha tha cricket ka maza aa gaya",positive,ru,ground
"futsal ka turf premium quality ka tha grip bohat achi thi",positive,ru,ground
"ground barra tha 11 aside match aaram se ho gaya",positive,ru,ground
"nets naye the aur achi tarah se lagaye hue the practice ke liye",positive,ru,ground
"football pitch saaf suthra tha proper markings thin",positive,ru,ground
"turf pe khelne ka maza aaya professional feel thi",positive,ru,ground
"ground ki safai bohat achi thi clearly care karte hain",positive,ru,ground
"outfield bohat saf tha fielding mein maza aaya",positive,ru,ground
"Islamabad ka behtareen futsal turf hai ye",positive,ru,ground
"washroom saf tha soap aur towel sab moujood tha",positive,ru,facilities
"parking ki bohat jagah thi koi mushkil nahi hui",positive,ru,facilities
"changing room mein lockers bhi the bohat achi arrangement",positive,ru,facilities
"thanda pani mil raha tha garmi mein bohat acha laga",positive,ru,facilities
"first aid ka saamaan tha staff ko pata tha kaise istamaal karna hai",positive,ru,facilities
"dekhne walon ke liye achi chairs thin chaawn mein",positive,ru,facilities
"canteen bhi thi chai aur snacks milte the bohat convenient",positive,ru,facilities
"app se seedha book hua ekdum instant confirmation aayi",positive,ru,booking
"booking ke baad reminder bhi aaya slot se pehle zabardast",positive,ru,booking
"cancel karna para to refund 24 ghanton mein aa gaya",positive,ru,booking
"slot bilkul time pe mila bohat professional the",positive,ru,booking
"booking ka process itna asaan tha ke maza aa gaya",positive,ru,booking
"paise wasool thi ye jagah quality ground sasti qeemat pe",positive,ru,price
"doosri jagahon ke muqable mein bohat sasta tha",positive,ru,price
"weekend pe bhi fair rate tha koi chupi fees nahi thi",positive,ru,price
"3 ghante book kiye to discount bhi mil gaya",positive,ru,price
"area mein sab se behtareen qeemat pe sab se acha ground",positive,ru,price
"2000 mein itna acha ground milna mushkil hai kahin aur",positive,ru,price
"owner ne khud aa ke welcome kiya aur nets lagane mein madad ki",positive,ru,staff
"staff ne sab ko pani ki bottles di bohat achhi baat thi",positive,ru,staff
"manager ne hamare schedule ke liye apna waqt adjust kiya",positive,ru,staff
"owner bohat jaldi reply karta hai messages pe",positive,ru,staff
"caretaker ne poore match ke doran ground ki hifazat ki",positive,ru,staff
"lights ekdum bright thin ek bhi shadowy area nahi tha",positive,ru,lights
"behtareen lighting thi kisi bhi local ground se behtar",positive,ru,lights
"LED floodlights the koi flickering nahi ekdum stadium jaisi feel",positive,ru,lights
"raat 10 baje bhi har ball clearly nazar aa rahi thi",positive,ru,lights
"lajawab tajurba tha zaroor dobara aayenge",positive,ru,overall
"area ki behtareen jagah hai beshak",positive,ru,overall
